special_token_size	1
token_size	56
singleton_size	2
singleton_max_count	1
0	*UNK*	1
1	e	12271
2	t	10277
3	a	8391
4	o	8072
5	i	7543
6	s	6902
7	n	6248
8	r	6144
9	h	5106
10	l	4189
11	d	4017
12	u	3216
13	c	3176
14	p	2994
15	m	2673
16	y	2428
17	w	2226
18	g	2109
19	f	2048
20	b	1811
21	.	1442
22	v	1184
23	k	1044
24	,	950
25	'	397
26	x	258
27	-	160
28	q	137
29	j	128
30	z	119
31	0	116
32	!	110
33	)	106
34	(	100
35	1	86
36	2	75
37	3	58
38	`	56
39	7	52
40	5	50
41	:	41
42	8	38
43	/	30
44	4	30
45	$	24
46	;	18
47	?	13
48	9	13
49	6	12
50	%	6
51	+	6
52	*	6
53	>	2
54	]	2
55	[	1
56	=	1
