special_token_size	2
token_size	46
singleton_size	0
singleton_max_count	1
0	*PAD*	1
1	*UNK*	1
2	NN	4575
3	DT	2660
4	IN	2412
5	JJ	2212
6	RB	1996
7	PRP	1837
8	.	1497
9	VBZ	1208
10	CC	1119
11	NNS	1069
12	VB	1006
13	,	977
14	VBD	825
15	VBP	674
16	VBN	480
17	TO	453
18	VBG	412
19	CD	338
20	PRP$	326
21	MD	302
22	JJR	176
23	WDT	166
24	RP	153
25	WRB	122
26	-RRB-	108
27	HYPH	107
28	-LRB-	101
29	:	89
30	JJS	68
31	NNP	53
32	WP	50
33	RBR	46
34	''	43
35	PDT	42
36	UH	34
37	``	30
38	EX	28
39	$	24
40	POS	23
41	SYM	15
42	FW	14
43	RBS	12
44	NFP	10
45	NNPS	6
46	AFX	6
47	ADD	2
