special_token_size	1
token_size	3082
singleton_size	1545
singleton_max_count	1
0	*UNK*	1
1	the	1529
2	.	1359
3	,	950
4	and	852
5	i	703
6	it	681
7	is	645
8	to	640
9	a	571
10	for	327
11	of	324
12	that	269
13	with	262
14	was	217
15	this	207
16	my	207
17	not	184
18	in	176
19	on	175
20	but	168
21	you	167
22	have	152
23	very	150
24	great	144
25	computer	144
26	use	134
27	so	132
28	n't	132
29	laptop	127
30	are	119
31	has	117
32	had	115
33	!	110
34	's	109
35	they	106
36	)	106
37	screen	104
38	battery	102
39	be	102
40	(	100
41	as	97
42	easy	95
43	all	89
44	mac	88
45	me	86
46	just	85
47	only	82
48	up	79
49	like	79
50	at	79
51	also	76
52	when	75
53	windows	75
54	would	74
55	which	73
56	or	73
57	can	71
58	after	70
59	about	70
60	price	70
61	than	68
62	out	68
63	good	67
64	keyboard	67
65	do	66
66	an	66
67	if	64
68	more	64
69	life	64
70	no	62
71	one	62
72	well	61
73	its	59
74	fast	58
75	drive	57
76	from	57
77	hard	55
78	apple	54
79	does	54
80	because	54
81	much	54
82	new	52
83	system	51
84	quality	51
85	will	51
86	even	50
87	macbook	50
88	get	50
89	software	49
90	other	48
91	love	47
92	time	46
93	thing	45
94	there	45
95	features	44
96	works	44
97	did	42
98	any	41
99	:	41
100	''	41
101	problem	40
102	am	39
103	work	39
104	performance	39
105	power	38
106	pro	38
107	now	37
108	graphics	37
109	too	37
110	really	36
111	size	36
112	problems	36
113	pc	35
114	then	35
115	os	35
116	programs	34
117	working	34
118	what	34
119	better	34
120	service	33
121	used	33
122	nice	33
123	could	33
124	best	33
125	many	32
126	been	32
127	your	32
128	everything	32
129	little	31
130	product	31
131	some	31
132	first	31
133	back	31
134	how	30
135	since	30
136	bought	30
137	mouse	30
138	7	30
139	buy	30
140	we	29
141	were	29
142	long	29
143	-	29
144	using	29
145	need	28
146	``	28
147	internet	27
148	still	27
149	machine	27
150	've	26
151	worth	26
152	got	26
153	runs	26
154	months	26
155	speed	26
156	warranty	26
